userName,score,at,content
Ridho Gunawan,4,2025-12-11 13:47:45,good
Dicky Mortazavi,5,2025-12-11 13:46:10,sangat bagus
Pedro Ligoti,5,2025-12-11 13:44:24,baik
AHMAD,5,2025-12-11 13:36:41,bagus aflikasi jmo nya
Hartanto,1,2025-12-11 13:33:50,"app busuk , force close terus"
Musolip musolip,5,2025-12-11 13:31:20,mantappp
Umar Umar,5,2025-12-11 13:30:25,bagus
Hisbula Huda,5,2025-12-11 13:22:14,cek bsu secara berkala selalu email tidak valid padahal cuma satu email
pauji rahman,5,2025-12-11 13:17:36,selalu berikan informasi yang detail dan konsisten
Akhda Azizah,5,2025-12-11 13:12:19,sangat berguna sekali
Eva Erina,5,2025-12-11 13:10:44,baik
M.AMMAR S.I,3,2025-12-11 13:05:23,"saya senang adanya jmo,tetapi perihal laporan upah yang di terima dan upah yang di laporkan tidak sesuai sampai sekarang belum ada tindak lanjut,dan yang bikin saya kecewa lagi laporan di aplikasi tidak bisa di rubah atau di ganti atau di kirim ulang.sangat kecewa kalau bisa kirim pengaduan cuma 1 kali di aplikasi,itupun tidak bisa di rubah.laporan pengaduan tahun lalu,tapi sampai sekarang pengaduan masih tertera tahun lalu,tidak bisa kirim pengaduan lagi."
nounna nisa,5,2025-12-11 12:48:14,ok sekali membantu
Gilang Rayyi,5,2025-12-11 12:46:56,oke
Arif Hidayat,5,2025-12-11 12:45:29,bagus
R P,5,2025-12-11 12:44:47,ok
Herdi Aprizal,5,2025-12-11 12:35:52,baik
Budiono Ono,5,2025-12-11 12:34:05,mudah digunakan
asan winoto,4,2025-12-11 12:28:49,tingkatkan kualitasnya
Aceng Sandi,5,2025-12-11 12:27:09,siip
Diah amoy,5,2025-12-11 12:10:05,mantap
Iswan Kaputra (Channel Desa),5,2025-12-11 12:04:41,Bagus...
Andi yanto Zai,5,2025-12-11 12:01:50,sangat puas
Vita,3,2025-12-11 11:52:16,mantapp
Muhamad Abdurrohman,5,2025-12-11 11:47:45,alhamdulillah mantap
Ayu Rahayu,5,2025-12-11 11:34:57,aplikasi nya kenapa gak bisa dibuka ya ..??
Aries Setya,5,2025-12-11 11:32:29,"Aplikasinya tidak bisa di gunakan, soalnya mau login keluar aplikasi terus mohon bantuannya"
Rita Kurniati,1,2025-12-11 11:27:15,aplikasi tidak bisa dibuka
Hendrix BA,5,2025-12-11 11:22:16,amanah
Muhamad Solahudin,5,2025-12-11 11:14:14,manteppp Poko nya
Habib Gank,5,2025-12-11 11:00:58,cairkan bsu
Yasinta Sifa Aulia,5,2025-12-11 11:00:53,"kebanyakan update aplikasi, tp oke lah"
Hiro Game Station,5,2025-12-11 10:59:44,mantap cepat proses klaimnya
ASMONI MONI,5,2025-12-11 10:57:36,sangat bagus dan mudah dipahami
Dior Tris,3,2025-12-11 10:49:52,ok
Syahrul Nizam,5,2025-12-11 10:39:26,mantap . lebih mudah untk pengobatan
ALL,5,2025-12-11 10:34:18,sangat bagus
Bima wisnu Bima wisnu,5,2025-12-11 10:31:11,aplikasi jmo pelayannya bagus
Hanif Syaifullah,5,2025-12-11 10:30:03,Alhamdulillah....terima kasih BPJS ketenagakerjaan semoga semakin maju melayani masyarakat
Dhevy Dhevan,5,2025-12-11 10:22:16,"sangat bagus , pencairan hany a 2 menit"
Indra 46,5,2025-12-11 10:21:28,okay
Yarman Nias,5,2025-12-11 10:12:10,JMO sangat bermanfa'at
Aiyanaa Zulaikha,5,2025-12-11 10:10:13,Lebih cepat. Terimakasih banyak kak.
Aryo Seto,5,2025-12-11 10:02:43,Oke bagus
Abdul Rossid,5,2025-12-11 09:56:07,mantap
Nurevianti Evhi,5,2025-12-11 09:54:17,mantap
Muhammad Risaldi,5,2025-12-11 09:33:34,baik
doel ngArIEf,1,2025-12-11 09:04:53,more better ya
Hamza Siregar,5,2025-12-11 09:01:07,aplikasinya mantap
Isema muni,5,2025-12-11 08:59:48,mantap
